prd_id,cat_id,prd_key,prd_nm,prd_cost,prd_line,prd_start_dt,prd_end_dt
562,BI_TB,BK-T79Y-50,Touring-1000 Yellow- 50,1482,Touring,2013-07-01,
563,BI_TB,BK-T79Y-54,Touring-1000 Yellow- 54,1482,Touring,2013-07-01,
564,BI_TB,BK-T79Y-60,Touring-1000 Yellow- 60,1482,Touring,2013-07-01,
461,CL_BS,SB-M891-L,Men's Bib-Shorts- L,37,Other Sales,2012-07-01,
460,CL_BS,SB-M891-M,Men's Bib-Shorts- M,37,Other Sales,2012-07-01,
459,CL_BS,SB-M891-S,Men's Bib-Shorts- S,37,Other Sales,2012-07-01,
223,CL_CA,CA-1098,AWC Logo Cap,6,Other Sales,2011-07-01,2012-06-30
224,CL_CA,CA-1098,AWC Logo Cap,5,Other Sales,2012-07-01,2013-06-30
225,CL_CA,CA-1098,AWC Logo Cap,7,Other Sales,2013-07-01,
470,CL_GL,GL-F110-L,Full-Finger Gloves- L,16,Mountain,2012-07-01,
469,CL_GL,GL-F110-M,Full-Finger Gloves- M,16,Mountain,2012-07-01,
468,CL_GL,GL-F110-S,Full-Finger Gloves- S,16,Mountain,2012-07-01,
466,CL_GL,GL-H102-L,Half-Finger Gloves- L,10,Other Sales,2012-07-01,2013-06-30
467,CL_GL,GL-H102-L,Half-Finger Gloves- L,9,Other Sales,2013-07-01,
464,CL_GL,GL-H102-M,Half-Finger Gloves- M,10,Other Sales,2012-07-01,2013-06-30
465,CL_GL,GL-H102-M,Half-Finger Gloves- M,9,Other Sales,2013-07-01,
462,CL_GL,GL-H102-S,Half-Finger Gloves- S,10,Other Sales,2012-07-01,2013-06-30
463,CL_GL,GL-H102-S,Half-Finger Gloves- S,9,Other Sales,2013-07-01,
232,CL_JE,LJ-0192-L,Long-Sleeve Logo Jersey- L,32,Other Sales,2011-07-01,2012-06-30
233,CL_JE,LJ-0192-L,Long-Sleeve Logo Jersey- L,29,Other Sales,2012-07-01,2013-06-30
234,CL_JE,LJ-0192-L,Long-Sleeve Logo Jersey- L,38,Other Sales,2013-07-01,
229,CL_JE,LJ-0192-M,Long-Sleeve Logo Jersey- M,32,Other Sales,2011-07-01,2012-06-30
230,CL_JE,LJ-0192-M,Long-Sleeve Logo Jersey- M,29,Other Sales,2012-07-01,2013-06-30
231,CL_JE,LJ-0192-M,Long-Sleeve Logo Jersey- M,38,Other Sales,2013-07-01,
226,CL_JE,LJ-0192-S,Long-Sleeve Logo Jersey- S,32,Other Sales,2011-07-01,2012-06-30
227,CL_JE,LJ-0192-S,Long-Sleeve Logo Jersey- S,29,Other Sales,2012-07-01,2013-06-30
228,CL_JE,LJ-0192-S,Long-Sleeve Logo Jersey- S,38,Other Sales,2013-07-01,
235,CL_JE,LJ-0192-X,Long-Sleeve Logo Jersey- XL,32,Other Sales,2011-07-01,2012-06-30
236,CL_JE,LJ-0192-X,Long-Sleeve Logo Jersey- XL,29,Other Sales,2012-07-01,2013-06-30
237,CL_JE,LJ-0192-X,Long-Sleeve Logo Jersey- XL,38,Other Sales,2013-07-01,
490,CL_JE,SJ-0194-L,Short-Sleeve Classic Jersey- L,42,Other Sales,2013-07-01,
489,CL_JE,SJ-0194-M,Short-Sleeve Classic Jersey- M,42,Other Sales,2013-07-01,
488,CL_JE,SJ-0194-S,Short-Sleeve Classic Jersey- S,42,Other Sales,2013-07-01,
491,CL_JE,SJ-0194-X,Short-Sleeve Classic Jersey- XL,42,Other Sales,2013-07-01,
454,CL_SH,SH-M897-L,Men's Sports Shorts- L,25,Other Sales,2012-07-01,
453,CL_SH,SH-M897-M,Men's Sports Shorts- M,25,Other Sales,2012-07-01,
445,CL_SH,SH-M897-S,Men's Sports Shorts- S,25,Other Sales,2012-07-01,
455,CL_SH,SH-M897-X,Men's Sports Shorts- XL,25,Other Sales,2012-07-01,
476,CL_SH,SH-W890-L,Women's Mountain Shorts- L,26,Mountain,2013-07-01,
475,CL_SH,SH-W890-M,Women's Mountain Shorts- M,26,Mountain,2013-07-01,
474,CL_SH,SH-W890-S,Women's Mountain Shorts- S,26,Mountain,2013-07-01,
219,CL_SO,SO-B909-L,Mountain Bike Socks- L,3,Mountain,2011-07-01,
218,CL_SO,SO-B909-M,Mountain Bike Socks- M,3,Mountain,2011-07-01,
482,CL_SO,SO-R809-L,Racing Socks- L,3,Road,2013-07-01,
481,CL_SO,SO-R809-M,Racing Socks- M,3,Road,2013-07-01,
458,CL_TI,TG-W091-L,Women's Tights- L,31,Other Sales,2012-07-01,
457,CL_TI,TG-W091-M,Women's Tights- M,31,Other Sales,2012-07-01,
456,CL_TI,TG-W091-S,Women's Tights- S,31,Other Sales,2012-07-01,
473,CL_VE,VE-C304-L,Classic Vest- L,24,Other Sales,2013-07-01,
472,CL_VE,VE-C304-M,Classic Vest- M,24,Other Sales,2013-07-01,
471,CL_VE,VE-C304-S,Classic Vest- S,24,Other Sales,2013-07-01,
601,CO_BB,BB-7421,LL Bottom Bracket,24,n/a,2013-07-01,
602,CO_BB,BB-8107,ML Bottom Bracket,45,n/a,2013-07-01,
603,CO_BB,BB-9108,HL Bottom Bracket,54,n/a,2013-07-01,
555,CO_BR,FB-9873,Front Brakes,47,n/a,2013-07-01,
514,CO_BR,RB-9231,Rear Brakes,47,n/a,2013-07-01,
559,CO_CH,CH-0234,Chain,9,n/a,2013-07-01,
556,CO_CS,CS-4759,LL Crankset,78,n/a,2013-07-01,
557,CO_CS,CS-6583,ML Crankset,114,n/a,2013-07-01,
558,CO_CS,CS-9183,HL Crankset,180,n/a,2013-07-01,
552,CO_DE,FD-2342,Front Derailleur,41,n/a,2013-07-01,
501,CO_DE,RD-2308,Rear Derailleur,54,n/a,2013-07-01,
391,CO_FO,FK-1639,LL Fork,66,n/a,2012-07-01,
392,CO_FO,FK-5136,ML Fork,78,n/a,2012-07-01,
393,CO_FO,FK-9939,HL Fork,102,n/a,2012-07-01,
397,CO_HB,HB-M243,LL Mountain Handlebars,18,Mountain,2012-07-01,2013-06-30
398,CO_HB,HB-M243,LL Mountain Handlebars,20,Mountain,2013-07-01,
399,CO_HB,HB-M763,ML Mountain Handlebars,25,Mountain,2012-07-01,2013-06-30
400,CO_HB,HB-M763,ML Mountain Handlebars,27,Mountain,2013-07-01,
401,CO_HB,HB-M918,HL Mountain Handlebars,49,Mountain,2012-07-01,2013-06-30
402,CO_HB,HB-M918,HL Mountain Handlebars,53,Mountain,2013-07-01,
403,CO_HB,HB-R504,LL Road Handlebars,18,Road,2012-07-01,2013-06-30
404,CO_HB,HB-R504,LL Road Handlebars,20,Road,2013-07-01,
405,CO_HB,HB-R720,ML Road Handlebars,25,Road,2012-07-01,2013-06-30
406,CO_HB,HB-R720,ML Road Handlebars,27,Road,2013-07-01,
407,CO_HB,HB-R956,HL Road Handlebars,49,Road,2012-07-01,2013-06-30
408,CO_HB,HB-R956,HL Road Handlebars,53,Road,2013-07-01,
553,CO_HB,HB-T721,LL Touring Handlebars,20,Touring,2013-07-01,
554,CO_HB,HB-T928,HL Touring Handlebars,41,Touring,2013-07-01,
394,CO_HS,HS-0296,LL Headset,15,n/a,2012-07-01,
395,CO_HS,HS-2451,ML Headset,45,n/a,2012-07-01,
396,CO_HS,HS-3479,HL Headset,55,n/a,2012-07-01,
550,CO_MF,FR-M21B-40,LL Mountain Frame - Black- 40,137,Mountain,2013-07-01,
531,CO_MF,FR-M21B-42,LL Mountain Frame - Black- 42,137,Mountain,2013-07-01,
532,CO_MF,FR-M21B-44,LL Mountain Frame - Black- 44,137,Mountain,2013-07-01,
533,CO_MF,FR-M21B-48,LL Mountain Frame - Black- 48,137,Mountain,2013-07-01,
534,CO_MF,FR-M21B-52,LL Mountain Frame - Black- 52,137,Mountain,2013-07-01,
551,CO_MF,FR-M21S-40,LL Mountain Frame - Silver- 40,145,Mountain,2013-07-01,
524,CO_MF,FR-M21S-42,LL Mountain Frame - Silver- 42,145,Mountain,2013-07-01,
525,CO_MF,FR-M21S-44,LL Mountain Frame - Silver- 44,145,Mountain,2013-07-01,
526,CO_MF,FR-M21S-48,LL Mountain Frame - Silver- 48,145,Mountain,2013-07-01,
527,CO_MF,FR-M21S-52,LL Mountain Frame - Silver- 52,145,Mountain,2013-07-01,
409,CO_MF,FR-M63B-38,ML Mountain Frame - Black- 38,186,Mountain,2012-07-01,
426,CO_MF,FR-M63B-40,ML Mountain Frame - Black- 40,186,Mountain,2012-07-01,
427,CO_MF,FR-M63B-44,ML Mountain Frame - Black- 44,186,Mountain,2012-07-01,
428,CO_MF,FR-M63B-48,ML Mountain Frame - Black- 48,186,Mountain,2012-07-01,
549,CO_MF,FR-M63S-38,ML Mountain Frame-W - Silver- 38,199,Mountain,2013-07-01,
511,CO_MF,FR-M63S-40,ML Mountain Frame-W - Silver- 40,199,Mountain,2013-07-01,
512,CO_MF,FR-M63S-42,ML Mountain Frame-W - Silver- 42,199,Mountain,2013-07-01,
513,CO_MF,FR-M63S-46,ML Mountain Frame-W - Silver- 46,199,Mountain,2013-07-01,
304,CO_MF,FR-M94B-38,HL Mountain Frame - Black- 38,617,Mountain,2011-07-01,2012-06-30
305,CO_MF,FR-M94B-38,HL Mountain Frame - Black- 38,654,Mountain,2012-07-01,2013-06-30
306,CO_MF,FR-M94B-38,HL Mountain Frame - Black- 38,739,Mountain,2013-07-01,
296,CO_MF,FR-M94B-42,HL Mountain Frame - Black- 42,617,Mountain,2011-07-01,2012-06-30
297,CO_MF,FR-M94B-42,HL Mountain Frame - Black- 42,654,Mountain,2012-07-01,2013-06-30
298,CO_MF,FR-M94B-42,HL Mountain Frame - Black- 42,739,Mountain,2013-07-01,
299,CO_MF,FR-M94B-44,HL Mountain Frame - Black- 44,699,Mountain,2011-07-01,
301,CO_MF,FR-M94B-46,HL Mountain Frame - Black- 46,617,Mountain,2011-07-01,2012-06-30
302,CO_MF,FR-M94B-46,HL Mountain Frame - Black- 46,654,Mountain,2012-07-01,2013-06-30
303,CO_MF,FR-M94B-46,HL Mountain Frame - Black- 46,739,Mountain,2013-07-01,
300,CO_MF,FR-M94B-48,HL Mountain Frame - Black- 48,699,Mountain,2011-07-01,
307,CO_MF,FR-M94S-38,HL Mountain Frame - Silver- 38,624,Mountain,2011-07-01,2012-06-30
308,CO_MF,FR-M94S-38,HL Mountain Frame - Silver- 38,661,Mountain,2012-07-01,2013-06-30
309,CO_MF,FR-M94S-38,HL Mountain Frame - Silver- 38,747,Mountain,2013-07-01,
288,CO_MF,FR-M94S-42,HL Mountain Frame - Silver- 42,624,Mountain,2011-07-01,2012-06-30
289,CO_MF,FR-M94S-42,HL Mountain Frame - Silver- 42,661,Mountain,2012-07-01,2013-06-30
290,CO_MF,FR-M94S-42,HL Mountain Frame - Silver- 42,747,Mountain,2013-07-01,
291,CO_MF,FR-M94S-44,HL Mountain Frame - Silver- 44,707,Mountain,2011-07-01,
293,CO_MF,FR-M94S-46,HL Mountain Frame - Silver- 46,624,Mountain,2011-07-01,2012-06-30
294,CO_MF,FR-M94S-46,HL Mountain Frame - Silver- 46,661,Mountain,2012-07-01,2013-06-30
295,CO_MF,FR-M94S-46,HL Mountain Frame - Silver- 46,747,Mountain,2013-07-01,
292,CO_MF,FR-M94S-52,HL Mountain Frame - Silver- 48,707,Mountain,2011-07-01,
542,CO_PE,PD-M282,LL Mountain Pedal,18,Mountain,2013-07-01,
543,CO_PE,PD-M340,ML Mountain Pedal,28,Mountain,2013-07-01,
544,CO_PE,PD-M562,HL Mountain Pedal,36,Mountain,2013-07-01,
545,CO_PE,PD-R347,LL Road Pedal,18,Road,2013-07-01,
546,CO_PE,PD-R563,ML Road Pedal,28,Road,2013-07-01,
547,CO_PE,PD-R853,HL Road Pedal,36,Road,2013-07-01,
548,CO_PE,PD-T852,Touring Pedal,36,Touring,2013-07-01,
279,CO_RF,FR-R38B-44,LL Road Frame - Black- 44,176,Road,2011-07-01,2012-06-30
280,CO_RF,FR-R38B-44,LL Road Frame - Black- 44,170,Road,2012-07-01,2013-06-30
281,CO_RF,FR-R38B-44,LL Road Frame - Black- 44,205,Road,2013-07-01,
282,CO_RF,FR-R38B-48,LL Road Frame - Black- 48,176,Road,2011-07-01,2012-06-30
283,CO_RF,FR-R38B-48,LL Road Frame - Black- 48,170,Road,2012-07-01,2013-06-30
284,CO_RF,FR-R38B-48,LL Road Frame - Black- 48,205,Road,2013-07-01,
285,CO_RF,FR-R38B-52,LL Road Frame - Black- 52,176,Road,2011-07-01,2012-06-30
286,CO_RF,FR-R38B-52,LL Road Frame - Black- 52,170,Road,2012-07-01,2013-06-30
287,CO_RF,FR-R38B-52,LL Road Frame - Black- 52,205,Road,2013-07-01,
253,CO_RF,FR-R38B-58,LL Road Frame - Black- 58,176,Road,2011-07-01,2012-06-30
254,CO_RF,FR-R38B-58,LL Road Frame - Black- 58,170,Road,2012-07-01,2013-06-30
255,CO_RF,FR-R38B-58,LL Road Frame - Black- 58,205,Road,2013-07-01,
256,CO_RF,FR-R38B-60,LL Road Frame - Black- 60,176,Road,2011-07-01,2012-06-30
257,CO_RF,FR-R38B-60,LL Road Frame - Black- 60,170,Road,2012-07-01,2013-06-30
258,CO_RF,FR-R38B-60,LL Road Frame - Black- 60,205,Road,2013-07-01,
259,CO_RF,FR-R38B-62,LL Road Frame - Black- 62,176,Road,2011-07-01,2012-06-30
260,CO_RF,FR-R38B-62,LL Road Frame - Black- 62,170,Road,2012-07-01,2013-06-30
261,CO_RF,FR-R38B-62,LL Road Frame - Black- 62,205,Road,2013-07-01,
262,CO_RF,FR-R38R-44,LL Road Frame - Red- 44,181,Road,2011-07-01,2012-06-30
263,CO_RF,FR-R38R-44,LL Road Frame - Red- 44,187,Road,2012-07-01,
